epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.941,2.82184,10.2896,1.02051,0.00106,0.32833,0.00077,0.0003,2.37652,8.01881,0.94178,0.000465508,0.000465508,0.000465508
2,585.399,2.70574,7.04263,0.97151,0.94692,0.07236,0.35571,0.11859,2.3675,6.01097,0.95057,0.00089522,0.00089522,0.00089522
3,897.012,2.55564,5.68641,0.954,0.57696,0.36642,0.48786,0.1475,2.41973,4.78053,0.95098,0.00127777,0.00127777,0.00127777
4,1213.47,2.52108,4.3536,0.92572,0.68068,0.72963,0.6675,0.23505,2.30763,3.50268,0.93864,0.00121679,0.00121679,0.00121679
5,1515.79,2.43505,3.63272,0.93522,0.60412,0.66426,0.60693,0.18905,2.49103,3.12462,0.9561,0.00114606,0.00114606,0.00114606
6,1813.37,2.46165,2.97524,0.92646,0.70266,0.80679,0.73304,0.28071,2.18794,2.27662,0.9196,0.00107532,0.00107532,0.00107532
7,2108.53,2.32037,2.7203,0.92118,0.73889,0.85856,0.748,0.28364,2.14718,2.13341,0.91873,0.00100459,0.00100459,0.00100459
8,2399.2,2.3015,2.26799,0.90973,0.69679,0.80379,0.7482,0.27396,2.14112,2.00017,0.91835,0.000933851,0.000933851,0.000933851
9,2692.71,2.25022,2.04997,0.91101,0.75675,0.84535,0.76407,0.25313,2.20084,1.76578,0.91838,0.000863116,0.000863116,0.000863116
10,2988.65,2.28859,1.8932,0.91678,0.75155,0.79816,0.72112,0.28159,2.12846,1.59621,0.91673,0.00079238,0.00079238,0.00079238
11,3291.31,2.25557,2.19633,0.93069,0.6279,0.75452,0.62048,0.19022,2.60485,1.92686,0.95095,0.000721645,0.000721645,0.000721645
12,3586.75,2.27242,2.12307,0.93934,0.74337,0.82649,0.7363,0.2709,2.15064,1.55499,0.91181,0.000650909,0.000650909,0.000650909
13,3885.94,2.20286,1.89685,0.91608,0.73199,0.78811,0.72372,0.25631,2.26571,1.45229,0.92303,0.000580174,0.000580174,0.000580174
14,4179.38,2.21964,1.79959,0.92212,0.76518,0.84936,0.77774,0.30624,2.05518,1.31324,0.91206,0.000509438,0.000509438,0.000509438
15,4476.02,2.21372,1.73069,0.91934,0.76435,0.85161,0.78032,0.28226,2.15123,1.37755,0.91682,0.000438703,0.000438703,0.000438703
16,4774.34,2.15412,1.61346,0.91741,0.74256,0.84728,0.75044,0.29372,2.07842,1.26738,0.90652,0.000367967,0.000367967,0.000367967
17,5070.27,2.14015,1.55851,0.92625,0.76099,0.86065,0.76312,0.24281,2.30126,1.36441,0.92351,0.000297232,0.000297232,0.000297232
18,5358.35,2.10748,1.49997,0.92743,0.76708,0.83831,0.77047,0.30198,2.03658,1.21832,0.90624,0.000226497,0.000226497,0.000226497
19,5651,2.1117,1.44902,0.91,0.74848,0.81014,0.73852,0.25243,2.23434,1.33766,0.91705,0.000155761,0.000155761,0.000155761
20,5936.04,2.01818,1.4203,0.89889,0.79341,0.85344,0.80229,0.3051,2.0299,1.21695,0.89927,8.50255e-05,8.50255e-05,8.50255e-05
